Country,Happiness score,Year,latitude,longitude,GDP,Healthy life expectancy,Corruption
South Korea,0.4,2020,35.907757,127.766922,10.51056671,73.6027298,0.789067447
Japan,0.4,2020,36.204824,138.252924,10.57968903,75.00096893,0.654558063
Peru,0.39,2020,-9.189967,-75.015152,9.456313133,68.10023499,0.893714964
Serbia,0.38,2020,44.016521,21.005859,9.680980682,68.21020508,0.843509018
Bolivia,0.38,2020,-16.290154,-63.588653,8.851115227,63.6004715,0.822606206
Pakistan,0.37,2020,30.375321,69.345116,8.482727051,58.25313568,0.745705426
Paraguay,0.36,2020,-23.442503,-58.443832,9.389982224,65.63993835,0.834788501
Dominican Republic,0.36,2020,18.735693,-70.162651,9.664880753,65.80748749,0.755999923
Bosnia and Herzegovina,0.36,2020,43.915886,17.679076,9.455817223,67.80813599,0.933769107
Moldova,0.35,2020,47.411631,28.369885,8.776714325,65.01301575,0.913314283
Tajikistan,0.34,2020,38.861034,71.276093,8.024810791,64.10459137,0.592076063
Montenegro,0.33,2020,42.708678,19.37439,9.751860619,68.50534821,0.783121586
Russia,0.33,2020,61.52401,105.318756,10.12887192,64.10045624,0.864802599
Kyrgyzstan,0.33,2020,41.20438,74.766098,8.148405075,64.10601044,0.888396084
Belarus,0.33,2020,53.709807,27.953389,9.779945374,66.10433197,0.63571167
Greece,0.33,2020,39.074208,21.824312,10.13232613,72.40525818,0.859931409
Hong Kong,0.33,2020,22.396428,114.109497,10.9346714,76.77170563,0.420607209
Croatia,0.33,2020,45.1,15.2,10.07087517,70.21490479,0.916495264
Libya,0.32,2020,26.3351,17.228331,9.789815903,62.29999924,0.668779135
Mongolia,0.32,2020,46.862496,103.846656,9.412186623,62.30448532,0.863511205
Malaysia,0.3,2020,4.210484,101.975766,10.26251888,67.10215759,0.839302301
Vietnam,0.3,2020,14.058324,108.277199,8.809545517,67.9527359,0.79642123
Indonesia,0.28,2020,-0.789275,113.921327,9.36975193,62.15584946,0.876296401
C?te d'Ivoire,0.28,2020,7.539989,-5.54708,8.225561142,49.50377274,0.790771961
Benin,0.27,2020,9.30769,2.315834,7.674319744,54.31246567,0.740532577
Maldives,0.27,2020,3.202778,73.22068,9.518632889,70.59999847,0.824211061
Congo [Republic],0.27,2020,-0.228021,15.827659,8.536987305,57.92448044,0.751779079
Azerbaijan,0.26,2020,40.143105,47.576927,9.687726974,65.50839996,0.55253756
Macedonia [FYROM],0.26,2020,41.608635,21.745275,9.510591507,67.50442505,0.897490501
Ghana,0.26,2020,7.946527,-1.023194,8.350645065,57.20398712,0.847964764
Nepal,0.26,2020,28.394857,84.124008,7.925357342,63.77917862,0.738099158
Turkey,0.26,2020,38.963745,35.243322,10.12941933,66.90281677,0.748197377
China,0.26,2020,35.86166,104.195397,9.688568115,69.2891922,0.7539711
Turkmenistan,0.26,2020,38.969719,59.556278,9.74803257,62.21170807,0.883691847
Bulgaria,0.25,2020,42.733883,25.48583,9.869318962,66.80397797,0.935585141
Morocco,0.25,2020,31.791702,-7.09262,8.940313339,65.89624023,0.815724611
Cameroon,0.25,2020,7.369722,12.354722,8.118647575,52.7049408,0.851336598
Venezuela,0.24,2020,6.42375,-66.58973,8.977793694,66.50534058,0.837038398
Algeria,0.24,2020,28.033886,1.659626,9.537964821,65.90517426,0.735485137
Senegal,0.23,2020,14.497401,-14.452362,8.118982315,59.59915161,0.808785141
Guinea,0.23,2020,9.945587,-9.696645,7.750990391,54.46780014,0.761794448
Niger,0.22,2020,17.607789,8.081666,6.842166901,53.50009537,0.722530186
Laos,0.22,2020,19.85627,102.495496,8.79858017,58.70992279,0.634679317
Albania,0.22,2020,41.153332,20.168331,9.417930603,68.70813751,0.896303713
Cambodia,0.21,2020,12.565679,104.990963,8.249890327,61.52996826,0.822769046
Bangladesh,0.21,2020,23.684994,90.356331,8.287063599,64.50306702,0.661843538
Gabon,0.21,2020,-0.803689,11.609444,9.680537224,59.71533966,0.849150956
South Africa,0.21,2020,-30.559482,22.937506,9.403370857,56.50601196,0.843423843
Iraq,0.2,2020,33.223191,43.679291,9.661095619,59.90354919,0.82226181
Lebanon,0.2,2020,33.854721,35.862285,9.3617239,67.10658264,0.90225625
Burkina Faso,0.2,2020,12.238333,-1.561593,7.46854496,53.88945389,0.739795029
Gambia,0.2,2020,13.443182,-15.310139,7.321814537,55.0120163,0.690717816
Mali,0.19,2020,17.570692,-3.996166,7.629852295,51.72698212,0.839328408
Nigeria,0.19,2020,9.081999,8.675277,8.57662487,49.86190796,0.861874342
Armenia,0.19,2020,40.069099,45.038189,9.100476265,66.75065613,0.773544788
Georgia,0.19,2020,42.315407,43.356892,9.226100922,64.49520874,0.665944695
Iran,0.19,2020,32.427908,53.688046,9.813719749,66.00614929,0.714635968
Jordan,0.18,2020,30.585164,36.238414,9.025999069,66.79975128,0.700344324
Mozambique,0.18,2020,-18.665695,35.529562,7.069345951,54.20582199,0.683019102
Kenya,0.17,2020,-0.023559,37.906193,8.02977562,60.09693146,0.831499159
Namibia,0.17,2020,-22.95764,18.49041,9.203141212,56.50148773,0.851449788
Ukraine,0.17,2020,48.379433,31.16558,9.010690689,64.60678101,0.920636714
Liberia,0.17,2020,6.428055,-9.429499,7.054380417,56.09631348,0.856375933
Palestinian Territories,0.17,2020,31.952162,35.233154,8.389223099,62.25,0.824199975
Uganda,0.15,2020,1.373333,32.290275,7.500389576,55.70820236,0.836737812
Chad,0.15,2020,15.454166,18.732207,7.467963696,48.22053909,0.802760839
Tunisia,0.15,2020,33.886917,9.537499,9.314972878,66.89785767,0.867590249
Mauritania,0.15,2020,21.00789,-10.940835,8.233919144,57.01017761,0.746223509
Sri Lanka,0.14,2020,7.873054,80.771797,9.389969826,67.20006561,0.859001756
Congo [DRC],0.14,2020,-4.038333,21.758664,6.694256306,52.90000153,0.809403598
Swaziland,0.14,2020,-26.522503,31.465866,9.16267395,51.18823624,0.708263338
Myanmar [Burma],0.14,2020,21.913965,95.956223,8.680481911,58.96171188,0.645124316
Comoros,0.13,2020,-11.875001,43.872219,7.833630085,57.34901047,0.780622602
Togo,0.12,2020,8.619543,0.824782,7.357711315,54.71989822,0.757733464
Ethiopia,0.12,2020,9.145,40.489673,7.509385586,58.63959122,0.753690004
Madagascar,0.12,2020,-18.766947,46.869107,7.281685829,59.10542679,0.817485631
Egypt,0.12,2020,26.820553,30.802498,9.316541672,61.78015137,0.787726879
Sierra Leone,0.09,2020,8.460555,-11.779889,7.26880312,50.86514282,0.861330688
Burundi,0.08,2020,-3.373056,29.918886,6.492642403,53.40000153,0.606934547
Zambia,0.08,2020,-13.133897,27.849332,8.224720001,55.29937744,0.801289678
Haiti,0.08,2020,18.971187,-72.285215,7.411329269,55.59862518,0.684767246
Lesotho,0.07,2020,-29.609988,28.233608,7.960488319,48.00362396,0.857392073
India,0.06,2020,20.593684,78.96288,8.849823952,60.21518707,0.772042692
Malawi,0.06,2020,-13.254308,34.301525,7.062226295,57.59288788,0.731700778
Yemen,0.06,2020,15.552727,48.516388,7.759682655,56.72728348,0.800287724
Botswana,0.05,2020,-22.328474,24.684866,9.711203575,58.92445374,0.777930915
Tanzania,0.05,2020,-6.369028,34.888822,7.967665195,57.49607468,0.619799435
Central African Republic,0.05,2020,6.611111,20.939444,6.625160217,45.20000076,0.891806662
Rwanda,0.04,2020,-1.940278,29.873888,7.600104332,61.09884644,0.183541179
Zimbabwe,0.04,2020,-19.015438,29.154857,7.865711689,55.61725998,0.81023699
Afghanistan,0.0,2020,33.93911,67.709953,7.462860584,52.59000015,0.933686554
Finland,1.0,2019,61.92411,25.748151,1.34,0.986,0.393
Denmark,0.93,2019,56.26392,9.501785,1.383,0.996,0.41
Norway,0.92,2019,60.472024,8.468946,1.488,1.028,0.341
Iceland,0.89,2019,64.963051,-19.020835,1.38,1.026,0.118
Netherlands,0.89,2019,52.132633,5.291266,1.396,0.999,0.298
Switzerland,0.89,2019,46.818188,8.227512,1.452,1.052,0.343
Sweden,0.84,2019,60.128161,18.643501,1.387,1.009,0.373
New Zealand,0.82,2019,-40.900557,174.885971,1.303,1.026,0.38
Canada,0.81,2019,56.130366,-106.346771,1.365,1.039,0.308
Austria,0.8,2019,47.516231,14.550072,1.376,1.016,0.226
Australia,0.8,2019,-25.274398,133.775136,1.372,1.036,0.29
Costa Rica,0.77,2019,9.748917,-83.753428,1.034,0.963,0.093
Israel,0.76,2019,31.046051,34.851612,1.276,1.029,0.082
Luxembourg,0.75,2019,49.815273,6.129583,1.609,1.012,0.316
United Kingdom,0.74,2019,55.378051,-3.435973,1.333,0.996,0.278
Ireland,0.72,2019,53.41291,-8.24389,1.499,0.999,0.31
Germany,0.71,2019,51.165691,10.451526,1.373,0.987,0.265
Belgium,0.69,2019,50.503887,4.469936,1.356,0.986,0.21
United States,0.68,2019,37.09024,-95.712891,1.433,0.874,0.128
Czech Republic,0.67,2019,49.817492,15.472962,1.269,0.92,0.036
United Arab Emirates,0.66,2019,23.424076,53.847818,1.503,0.825,0.182
Malta,0.63,2019,35.937496,14.375416,1.3,0.999,0.151
Mexico,0.59,2019,23.634501,-102.552784,1.07,0.861,0.073
France,0.59,2019,46.227638,2.213749,1.324,1.045,0.183
Taiwan,0.55,2019,23.69781,120.960515,1.368,0.914,0.097
Chile,0.55,2019,-35.675147,-71.542969,1.159,0.92,0.056
Guatemala,0.55,2019,15.783471,-90.230759,0.8,0.746,0.078
Saudi Arabia,0.53,2019,23.885942,45.079162,1.403,0.795,0.132
Qatar,0.53,2019,25.354826,51.183884,1.684,0.871,0.167
Spain,0.52,2019,40.463667,-3.74922,1.286,1.062,0.079
Panama,0.51,2019,8.537981,-80.782127,1.149,0.91,0.054
Brazil,0.51,2019,-14.235004,-51.92528,1.004,0.802,0.086
Uruguay,0.51,2019,-32.522779,-55.765835,1.124,0.891,0.15
Singapore,0.5,2019,1.352083,103.819836,1.572,1.141,0.453
El Salvador,0.5,2019,13.794185,-88.89653,0.794,0.789,0.074
